pop rep mig tem esp abund1 abund2 
400 1 6.95149e-310 0 1 200 200 
400 1 0.00808333 10 1 200 200 
400 1 0.00808333 20 1 200 200 
400 1 0 30 1 199 200 
400 1 0 30 2 1 0 
400 1 0 40 1 200 200 
400 1 0 50 1 200 200 
400 1 0 60 1 200 200 
400 1 0 70 3 7 0 
400 1 0 70 1 193 200 
400 1 0 80 1 189 200 
400 1 0 80 3 11 0 
400 1 0 90 1 176 200 
400 1 0 90 3 24 0 
400 1 0 100 1 170 200 
400 1 0 100 3 30 0 
400 1 0 110 1 182 200 
400 1 0 110 3 18 0 
400 1 0 120 1 197 200 
400 1 0 120 3 3 0 
400 1 0 130 1 200 0 
400 1 0 130 4 0 200 
400 1 0 140 1 200 0 
400 1 0 140 4 0 200 
400 1 0 150 1 200 0 
400 1 0 150 4 0 200 
400 1 0 160 1 200 0 
400 1 0 160 4 0 200 
400 1 0 170 1 200 0 
400 1 0 170 4 0 200 
400 1 0 180 1 200 0 
400 1 0 180 4 0 200 
400 1 0 190 1 200 0 
400 1 0 190 4 0 200 
400 1 0.00808333 200 1 200 1 
400 1 0.00808333 200 4 0 199 
400 1 0.00808333 210 1 191 0 
400 1 0.00808333 210 4 9 200 
400 1 0 220 1 197 0 
400 1 0 220 5 3 0 
400 1 0 220 4 0 200 
400 1 0 230 1 200 0 
400 1 0 230 4 0 200 
400 1 0 240 1 200 0 
400 1 0 240 4 0 200 
400 1 0 250 1 200 0 
400 1 0 250 4 0 200 
400 1 0 260 1 200 0 
400 1 0 260 4 0 200 
400 1 0 270 1 200 0 
400 1 0 270 4 0 200 
400 1 0 280 1 200 0 
400 1 0 280 4 0 200 
400 1 0 290 1 200 0 
400 1 0 290 4 0 200 
400 1 0 300 1 200 0 
400 1 0 300 4 0 200 
400 1 0 310 1 200 0 
400 1 0 310 4 0 176 
400 1 0 310 6 0 24 
400 1 0 320 1 200 0 
400 1 0 320 4 0 187 
400 1 0 320 6 0 13 
400 1 0 330 1 200 0 
400 1 0 330 4 0 184 
400 1 0 330 6 0 16 
400 1 0.00808333 340 1 200 0 
400 1 0.00808333 340 4 0 174 
400 1 0.00808333 340 6 0 26 
400 1 0 350 1 200 0 
400 1 0 350 4 0 161 
400 1 0 350 6 0 39 
400 1 0 360 1 200 0 
400 1 0 360 4 0 179 
400 1 0 360 6 0 21 
400 1 0.00808333 370 1 187 0 
400 1 0.00808333 370 4 13 176 
400 1 0.00808333 370 6 0 24 
400 1 0.00808333 380 1 181 0 
400 1 0.00808333 380 4 19 192 
400 1 0.00808333 380 6 0 8 
400 1 0.00808333 390 1 125 0 
400 1 0.00808333 390 4 75 200 
400 1 0.00808333 400 1 98 0 
400 1 0.00808333 400 7 28 0 
400 1 0.00808333 400 8 74 3 
400 1 0.00808333 400 4 0 197 
400 1 0.00808333 410 1 81 0 
400 1 0.00808333 410 4 3 200 
400 1 0.00808333 410 7 16 0 
400 1 0.00808333 410 8 100 0 
400 1 0.00808333 420 1 70 0 
400 1 0.00808333 420 9 14 3 
400 1 0.00808333 420 4 0 192 
400 1 0.00808333 420 7 22 0 
400 1 0.00808333 420 8 94 5 
400 1 0.00808333 430 1 56 0 
400 1 0.00808333 430 4 10 197 
400 1 0.00808333 430 7 36 0 
400 1 0.00808333 430 8 74 3 
400 1 0.00808333 430 9 24 0 
400 1 0.00808333 440 1 37 0 
400 1 0.00808333 440 4 39 198 
400 1 0.00808333 440 7 59 0 
400 1 0.00808333 440 8 65 2 
400 1 0 450 1 53 0 
400 1 0 450 4 60 200 
400 1 0 450 7 42 0 
400 1 0 450 8 45 0 
400 1 0 460 1 40 0 
400 1 0 460 10 54 0 
400 1 0 460 4 0 200 
400 1 0 460 7 60 0 
400 1 0 460 8 45 0 
400 1 0 460 11 1 0 
400 1 0 470 1 14 0 
400 1 0 470 4 0 200 
400 1 0 470 7 57 0 
400 1 0 470 8 82 0 
400 1 0 470 10 47 0 
400 1 0 480 1 13 0 
400 1 0 480 4 0 200 
400 1 0 480 7 54 0 
400 1 0 480 8 78 0 
400 1 0 480 10 55 0 
400 1 0 490 1 14 0 
400 1 0 490 4 0 200 
400 1 0 490 7 42 0 
400 1 0 490 8 107 0 
400 1 0 490 10 19 0 
400 1 0 490 12 18 0 
400 1 0 500 1 31 0 
400 1 0 500 4 0 200 
400 1 0 500 7 54 0 
400 1 0 500 8 89 0 
400 1 0 500 10 9 0 
400 1 0 500 12 17 0 
400 1 0 510 1 35 0 
400 1 0 510 4 0 200 
400 1 0 510 7 45 0 
400 1 0 510 8 113 0 
400 1 0 510 12 7 0 
400 1 0 520 1 56 0 
400 1 0 520 4 0 200 
400 1 0 520 7 54 0 
400 1 0 520 8 71 0 
400 1 0 520 13 16 0 
400 1 0 520 14 3 0 
400 1 0 530 1 24 0 
400 1 0 530 4 0 200 
400 1 0 530 7 96 0 
400 1 0 530 8 45 0 
400 1 0 530 15 5 0 
400 1 0 530 13 30 0 
400 1 0 540 1 17 0 
400 1 0 540 4 0 200 
400 1 0 540 7 86 0 
400 1 0 540 8 47 0 
400 1 0 540 13 46 0 
400 1 0 540 15 4 0 
400 1 0 550 1 26 0 
400 1 0 550 4 0 200 
400 1 0 550 7 100 0 
400 1 0 550 8 54 0 
400 1 0 550 13 20 0 
400 1 0 560 1 11 0 
400 1 0 560 4 0 200 
400 1 0 560 7 60 0 
400 1 0 560 8 122 0 
400 1 0 560 13 7 0 
400 1 0 570 1 11 0 
400 1 0 570 4 0 200 
400 1 0 570 7 52 0 
400 1 0 570 16 45 0 
400 1 0 570 8 90 0 
400 1 0 570 17 2 0 
400 1 0 580 1 14 0 
400 1 0 580 4 0 200 
400 1 0 580 7 72 0 
400 1 0 580 8 89 0 
400 1 0 580 16 25 0 
400 1 0 590 4 0 200 
400 1 0 590 7 63 0 
400 1 0 590 18 5 0 
400 1 0 590 8 69 0 
400 1 0 590 16 63 0 
400 1 0 600 4 0 200 
400 1 0 600 7 66 0 
400 1 0 600 8 71 0 
400 1 0 600 16 48 0 
400 1 0 600 18 15 0 
400 1 0 610 4 0 200 
400 1 0 610 7 53 0 
400 1 0 610 8 69 0 
400 1 0 610 16 59 0 
400 1 0 610 19 3 0 
400 1 0 610 18 16 0 
400 1 0 620 4 0 200 
