pop rep mig tem esp abund1 abund2 
400 1 6.92412e-310 0 1 200 200 
400 1 0.323333 10 1 200 200 
400 1 0.323333 20 1 200 200 
400 1 0 30 1 200 200 
400 1 0 40 1 200 200 
400 1 0 50 1 200 200 
400 1 0 60 1 200 200 
400 1 0 70 1 200 200 
400 1 0 80 1 200 200 
400 1 0 90 1 200 200 
400 1 0 100 1 200 200 
400 1 0 110 1 200 200 
400 1 0 120 1 200 200 
400 1 0 130 1 200 200 
400 1 0 140 1 200 200 
400 1 0 150 1 200 200 
400 1 0 160 1 200 200 
400 1 0 170 1 200 0 
400 1 0 170 2 0 200 
400 1 0 180 1 200 0 
400 1 0 180 2 0 200 
400 1 0 190 1 200 0 
400 1 0 190 2 0 199 
400 1 0 190 3 0 1 
400 1 0.323333 200 1 83 116 
400 1 0.323333 200 2 117 84 
400 1 0.323333 210 1 74 92 
400 1 0.323333 210 2 126 108 
400 1 0 220 1 58 57 
400 1 0 220 2 142 143 
400 1 0 230 1 57 75 
400 1 0 230 2 143 125 
400 1 0 240 4 52 0 
400 1 0 240 1 0 73 
400 1 0 240 2 148 127 
400 1 0 250 1 0 57 
400 1 0 250 2 149 143 
400 1 0 250 4 51 0 
400 1 0 260 1 0 58 
400 1 0 260 2 124 104 
400 1 0 260 5 0 16 
400 1 0 260 6 0 22 
400 1 0 260 4 76 0 
400 1 0 270 1 0 57 
400 1 0 270 2 140 0 
400 1 0 270 7 0 125 
400 1 0 270 4 60 0 
400 1 0 270 5 0 4 
400 1 0 270 6 0 14 
400 1 0 280 1 0 38 
400 1 0 280 2 92 0 
400 1 0 280 4 108 0 
400 1 0 280 5 0 12 
400 1 0 280 6 0 2 
400 1 0 280 2 0 114 
400 1 0 280 8 0 34 
400 1 0 290 1 0 48 
400 1 0 290 2 135 0 
400 1 0 290 9 0 113 
400 1 0 290 4 65 0 
400 1 0 290 5 0 13 
400 1 0 290 8 0 26 
400 1 0 300 1 0 63 
400 1 0 300 2 111 0 
400 1 0 300 4 89 0 
400 1 0 300 5 0 7 
400 1 0 300 8 0 33 
400 1 0 300 9 0 97 
400 1 0 310 1 0 46 
400 1 0 310 2 153 0 
400 1 0 310 4 47 0 
400 1 0 310 8 0 4 
400 1 0 310 9 0 150 
400 1 0 320 1 0 55 
400 1 0 320 2 126 0 
400 1 0 320 10 2 0 
400 1 0 320 4 50 0 
400 1 0 320 11 22 0 
400 1 0 320 9 0 145 
400 1 0 330 1 0 68 
400 1 0 330 2 160 0 
400 1 0 330 4 27 0 
400 1 0 330 12 4 0 
400 1 0 330 9 0 129 
400 1 0 330 13 0 3 
400 1 0 330 11 9 0 
400 1 0.323333 340 1 21 32 
400 1 0.323333 340 2 86 69 
400 1 0.323333 340 4 13 9 
400 1 0.323333 340 9 71 75 
400 1 0.323333 340 11 8 11 
400 1 0.323333 340 12 1 4 
400 1 0 350 14 19 0 
400 1 0 350 1 0 41 
400 1 0 350 2 93 26 
400 1 0 350 4 15 0 
400 1 0 350 15 0 4 
400 1 0 350 9 60 129 
400 1 0 350 11 13 0 
400 1 0 360 1 18 9 
400 1 0 360 2 74 65 
400 1 0 360 4 9 12 
400 1 0 360 9 95 91 
400 1 0 360 16 1 0 
400 1 0 360 14 3 23 
400 1 0.323333 370 1 17 6 
400 1 0.323333 370 17 10 8 
400 1 0.323333 370 2 77 95 
400 1 0.323333 370 4 4 6 
400 1 0.323333 370 9 83 77 
400 1 0.323333 370 14 9 8 
400 1 0.323333 380 1 20 11 
400 1 0.323333 380 2 86 91 
400 1 0.323333 380 9 63 88 
400 1 0.323333 380 14 18 5 
400 1 0.323333 380 17 13 5 
400 1 0.323333 390 1 30 23 
400 1 0.323333 390 2 101 104 
400 1 0.323333 390 9 60 65 
400 1 0.323333 390 14 9 4 
400 1 0.323333 390 17 0 4 
400 1 0.323333 400 1 32 40 
400 1 0.323333 400 2 110 111 
400 1 0.323333 400 9 46 45 
400 1 0.323333 400 14 12 4 
400 1 0.323333 410 1 18 17 
400 1 0.323333 410 2 124 113 
400 1 0.323333 410 9 48 69 
400 1 0.323333 410 14 10 1 
400 1 0.323333 420 1 24 17 
400 1 0.323333 420 2 127 133 
400 1 0.323333 420 9 44 50 
400 1 0.323333 420 14 5 0 
400 1 0.323333 430 1 17 11 
400 1 0.323333 430 2 140 133 
400 1 0.323333 430 9 43 56 
400 1 0.323333 440 1 20 25 
400 1 0.323333 440 2 130 130 
400 1 0.323333 440 9 41 33 
400 1 0.323333 440 18 9 12 
400 1 0 450 1 14 5 
400 1 0 450 2 153 120 
400 1 0 450 9 24 59 
400 1 0 450 18 9 16 
400 1 0 460 1 17 0 
400 1 0 460 2 154 137 
400 1 0 460 19 14 0 
400 1 0 460 9 0 52 
400 1 0 460 20 0 8 
400 1 0 460 18 15 0 
400 1 0 460 21 0 3 
400 1 0 470 1 14 0 
400 1 0 470 2 150 129 
400 1 0 470 9 0 19 
400 1 0 470 22 0 10 
400 1 0 470 23 0 18 
400 1 0 470 18 33 0 
400 1 0 470 19 3 0 
400 1 0 470 20 0 24 
400 1 0 480 1 24 0 
400 1 0 480 2 132 117 
400 1 0 480 9 0 38 
400 1 0 480 18 38 0 
400 1 0 480 19 6 0 
400 1 0 480 20 0 12 
400 1 0 480 22 0 25 
400 1 0 480 23 0 8 
400 1 0 490 1 22 0 
400 1 0 490 2 158 84 
400 1 0 490 9 0 44 
400 1 0 490 18 20 0 
400 1 0 490 22 0 45 
400 1 0 490 23 0 27 
400 1 0 500 1 30 0 
400 1 0 500 24 140 0 
400 1 0 500 2 0 151 
400 1 0 500 9 0 14 
400 1 0 500 18 30 0 
400 1 0 500 22 0 24 
400 1 0 500 23 0 11 
400 1 0 510 1 36 0 
400 1 0 510 2 0 150 
400 1 0 510 9 0 30 
400 1 0 510 18 27 0 
400 1 0 510 22 0 20 
400 1 0 510 24 137 0 
400 1 0 520 2 0 148 
400 1 0 520 9 0 22 
400 1 0 520 18 11 0 
400 1 0 520 22 0 30 
400 1 0 520 24 178 0 
400 1 0 520 25 11 0 
400 1 0 530 2 0 132 
400 1 0 530 9 0 38 
400 1 0 530 18 38 0 
400 1 0 530 22 0 30 
400 1 0 530 24 162 0 
400 1 0 540 2 0 115 
400 1 0 540 26 0 1 
400 1 0 540 9 0 29 
400 1 0 540 18 69 0 
400 1 0 540 22 0 55 
400 1 0 540 24 131 0 
400 1 0 550 2 0 137 
400 1 0 550 9 0 30 
400 1 0 550 18 57 0 
400 1 0 550 22 0 33 
400 1 0 550 24 143 0 
400 1 0 560 2 0 130 
400 1 0 560 9 0 6 
400 1 0 560 18 58 0 
400 1 0 560 22 0 64 
400 1 0 560 24 142 0 
400 1 0 570 2 0 126 
400 1 0 570 9 0 8 
400 1 0 570 18 61 0 
400 1 0 570 22 0 66 
400 1 0 570 24 139 0 
400 1 0 580 2 0 147 
400 1 0 580 9 0 8 
400 1 0 580 18 45 0 
400 1 0 580 27 4 0 
400 1 0 580 22 0 45 
400 1 0 580 24 151 0 
400 1 0 590 2 0 152 
400 1 0 590 9 0 3 
400 1 0 590 18 51 0 
400 1 0 590 22 0 45 
400 1 0 590 24 149 0 
400 1 0 600 2 0 141 
400 1 0 600 9 0 6 
400 1 0 600 18 35 0 
400 1 0 600 22 0 53 
400 1 0 600 24 165 0 
400 1 0 610 2 0 155 
400 1 0 610 9 0 7 
400 1 0 610 18 12 0 
400 1 0 610 22 0 38 
400 1 0 610 24 188 0 
